,,,Name,FeH,Teff,logg,RAdeg,DEdeg,dist_x,SOURCE_ID,RA,ra_error_x,DEC,dec_error_x,parallax_x,parallax_error_x,phot_g_mean_mag_x,phot_rp_mean_mag_x,phot_bp_mean_mag_x,bp_rp_x,mh_gspphot_x,mh_gspphot_lower_x,mh_gspphot_upper_x,Column0,dist_y,ra_y,ra_error_y,dec_y,dec_error_y,parallax,parallax_error_y,Gmag,RPmag,BPmag,BP-RP,mh_gspphot_y,mh_gspphot_lower_y,mh_gspphot_upper_y,MatchID,MatchRA,MatchDEC,dstArcSec,survey,fov_radius,IAUName,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,ra_cent,dec_cent,xCenter,yCenter,SSAPFitsFile,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact,redG,redBP,redRP,bpDered,rpDered,gDered,NUVDered,bp_rp_dered,colorColorY
10,459,149,BS 16080-054,-2.94,4902, 1.75,249.8270833333333,60.96183333333334,5.7366214610156367e-05,1624605949904837888,249.8271965923708,0.0106404,60.961851662881195,0.010253538,0.19696582570957588,0.010581537,12.5122595,11.87827,12.964009,1.0857391,,,,149,5.73662146101564E-05,249.827196592371,0.0106404,60.9618516628812,0.010253538,0.196965825709576,0.010581537,12.5122595,11.87827,12.964009,1.0857391,NaN,NaN,NaN,6371021315046900717,249.827268824643,60.9618448392369,0.128587697642995,AIS,0.2732042,GALEX J163918.5+605742,1,155,155,-999,-999,18.4407,0.04874404,-999,-999,152.6577,6.851892,0.03173433,249.94364,61.2292,1866.5,1923.965,,4.526049,4.570139,0,-99,-99,0,0.07929145636359469,0.10257199580263852,0.057772922324386695,12.861437004197363,11.820497077675613,12.432968043636405,18.2109434508,1.0409399265217498,-1.067425571591376
11,462,151,BS 16080-093,-3.23,4945, 1.85,252.65958333333327,59.218472222222225,3.72085084557609e-05,1431791605128552704,252.65956178078218,0.009892881,59.218512352972375,0.011926167,0.12857872579200977,0.011841787,13.346966,12.738003,13.778048,1.0400448,,,,151,3.72085084557609E-05,252.659561780782,0.009892881,59.2185123529724,0.011926167,0.12857872579201,0.011841787,13.346966,12.738003,13.778048,1.0400448,NaN,NaN,NaN,6371021339742968515,252.659911064781,59.218553701643,0.66049698065425,AIS,0.6019043,GALEX J165038.3+591306,1,332,239,-999,-999,18.67542,0.05627563,-999,-999,122.9791,6.372677,0.01605958,252.97347,58.63881,1912.846,1847.428,,3.646127,3.726951,185,-99,-99,32,0.04038237040531025,0.052070946070361786,0.02928677816019315,13.725977053929638,12.708716221839808,13.306583629594689,18.5591486408,1.0172608320898302,-1.4000127677838963
12,373,117,BS 16082-129,-2.84,4868, 1.67,206.79874999999996,28.963083333333334,5.211963294963381e-06,1455239343425565568,206.79874726174288,0.009738296,28.963082168322984,0.008512572,0.16835179435668385,0.013307849,13.237429,12.629142,13.665744,1.036602,,,,117,5.21196329496338E-06,206.798747261743,0.009738296,28.963082168323,0.008512572,0.168351794356684,0.013307849,13.237429,12.629142,13.665744,1.036602,NaN,NaN,NaN,6379324886989410688,206.798943937738,28.9631218993825,0.635778950720074,AIS,0.5779346,GALEX J134711.7+285747,1,276.05,64,-999,-999,18.55803,0.03696965,-999,-999,137.0217,4.664499,0.01488603,207.41241,28.75023,1947.405,1925.568,,4.062467,4.134952,0,-99,-99,0,0.03744936320065122,0.0482773129162211,0.027150128380768617,13.617466687083779,12.601991871619232,13.19997963679935,18.4502551428,1.0154748154645468,-1.3877601577195549
13,454,146,BS 16084-160,-3.20,4727, 1.27,247.2116666666666,54.61855555555556,3.808464657773875e-05,1428413836688212992,247.21162278092356,0.012571184,54.61858800712499,0.014193274,0.09109633063843964,0.013741718,12.865033,12.199838,13.356646,1.1568079,,,,146,3.80846465777387E-05,247.211622780924,0.012571184,54.618588007125,0.014193274,0.0910963306384396,0.013741718,12.865033,12.199838,13.356646,1.1568079,NaN,NaN,NaN,6371021398798767980,247.211924060428,54.618674803034,0.701444310197235,AIS,0.5019097,GALEX J162850.8+543707,1,295,203,-999,-999,19.14876,0.0413832,-999,-999,79.52348,3.030328,0.01009579,246.83339,54.16774,1947.4,1724.008,,2.357739,2.322219,0,-99,-99,0,0.024825732330610584,0.0323589092317357,0.01830303177475492,13.324287090768264,12.181534968225245,12.84020726766939,19.0756664804,1.142752122543019,-1.2172553161296253
14,352,107,BS 16085-050,-3.16,4910, 1.76,189.44458333333333,19.38041666666667,8.709711140658335e-05,3948292486649393920,189.4445033886183,0.021257767,19.38037943341106,0.019595174,0.26863477818956166,0.028628537,11.895555,11.278393,12.332395,1.0540018,,,,107,8.70971114065833E-05,189.444503388618,0.021257767,19.3803794334111,0.019595174,0.268634778189562,0.028628537,11.895555,11.278393,12.332395,1.0540018,NaN,NaN,NaN,3230033247598549002,189.444686247142,19.3804778390605,0.714932270810178,GII,0.1357379,GALEX J123746.7+192249,1,1512.25,0,-999,-999,17.4946,0.01025304,-999,-999,364.887,3.444936,0.02370651,189.31733,19.31735,1920.894,1919.188,,10.81829,11.01205,0,-99,-99,-999,0.05951798802677881,0.07680944141139946,0.04321309002303294,12.255585558588601,11.235179909976967,11.836037011973222,17.3229648676,1.020405648611634,-1.205226848375621
15,371,116,BS 16467-062,-3.80,5310, 2.80,205.50249999999997,17.81136111111111,4.438520695199276e-05,1247612343640067840,205.50255091591455,0.012842799,17.81135813019563,0.010607795,0.26066271030202803,0.019579163,13.887082,13.33993,14.249533,0.9096031,,,,116,4.43852069519928E-05,205.502550915915,0.012842799,17.8113581301956,0.010607795,0.260662710302028,0.019579163,13.887082,13.33993,14.249533,0.9096031,NaN,NaN,NaN,6378656353854948139,205.502524422076,17.8114644036919,0.393213345211625,AIS,0.5095456,GALEX J134200.6+174841,1,96,96,-999,-999,17.98253,0.04891291,-999,-999,232.8032,10.48534,0.01769849,205.05337,18.08906,1874.765,1941.485,,6.902229,6.915986,0,-99,-99,0,0.045595137544602767,0.0581345929251348,0.032467582710243824,14.191398407074864,13.307462417289758,13.841486862455397,17.8543929324,0.8839359897851065,-1.7782730012031918
16,433,134,BS 16477-003,-3.39,4879, 1.66,218.23708333333332,6.768611111111111,9.075976732136829e-05,1172129633442521728,218.23717101095664,0.021008264,6.768572498107633,0.014514044,0.09713359352307877,0.022277074,13.945392,13.325983,14.386424,1.060441,-1.9733,-2.0554,-1.9286,134,9.07597673213683E-05,218.237171010957,0.021008264,6.76857249810763,0.014514044,0.0971335935230788,0.022277074,13.945392,13.325983,14.386424,1.060441,-1.9733,-2.0554,-1.9286,2932936409479128796,218.23707851827,6.76849503031901,0.432559473001388,MIS,0.5894713,GALEX J143256.9+064606,1,1489.05,1489.05,-999,-999,19.27008,0.02892444,-999,-999,71.11625,1.894105,0.02713684,218.10246,6.1944,1925.308,1934.633,,2.108479,2.135031,1,-99,-99,256,0.06808030540008088,0.08789367029838574,0.0494558907013371,14.298530329701615,13.276527109298664,13.87731169459992,19.0736092784,1.0220032204029508,-1.5148036542191807
17,309,94,BS 16545-089,-3.44,6486, 3.82,171.11458333333334,36.84133333333334,0.00017781590916656466,760839819965612928,171.11471668713355,0.016474083,36.84118623889912,0.023240073,0.6443387822729668,0.02374807,14.317917,13.946575,14.537282,0.5907068,-3.3602,-3.9075,-3.1781,94,0.000177815909166565,171.114716687134,0.016474083,36.8411862388991,0.023240073,0.644338782272967,0.02374807,14.317917,13.946575,14.537282,0.5907068,-3.3602,-3.9075,-3.1781,6374645366577431144,171.114798660111,36.84136331434,0.679813632816737,AIS,0.3638652,GALEX J112427.5+365028,3,96,96,21.31149,0.3773297,16.99014,0.03222642,10.84938,3.769607,580.6911,17.23167,0.01961652,171.30152,37.17327,1832.214,1920.097,,17.21653,17.59048,0,0.1007866,0.122527,0,0.05358363605836711,0.06653983243996674,0.03644411422190952,14.470742167560033,13.91013088577809,14.264333363941633,16.8481163952,0.5606112817819433,-1.1137739363826293
18,349,104,BS 16920-017,-3.40,4851, 1.58,181.82,41.65902777777777,0.00011309320581916002,1537068675256686208,181.8201377655218,0.009949539,41.65897637087116,0.008961638,0.1474857950350013,0.0146159185,13.601517,12.971345,14.053514,1.0821686,,,,104,0.00011309320581916,181.820137765522,0.009949539,41.6589763708712,0.008961638,0.147485795035001,0.0146159185,13.601517,12.971345,14.053514,1.0821686,NaN,NaN,NaN,6374680531620073586,181.820195152052,41.6590457152313,0.293501436501043,AIS,0.4954571,GALEX J120716.8+413932,1,103,96,-999,-999,19.1569,0.08394162,-999,-999,78.92973,6.100819,0.01394175,181.91092,41.16828,1905.004,1926.509,,2.340136,2.364113,4,-99,-99,0,0.034775993648144515,0.04501373306954739,0.02537209436924551,14.008500266930453,12.945972905630754,13.566741006351855,19.05596173,1.0625273612996988,-1.4519831184480418
19,357,110,BS 16929-005,-3.34,5229, 2.61,195.87291666666667,33.85252777777778,0.00013849915140293147,1467915131946458496,195.87275441257793,0.012152569,33.85254921054871,0.0070554647,0.3213386925577061,0.015346637,13.434469,12.880704,13.803166,0.92246246,,,,110,0.000138499151402931,195.872754412578,0.012152569,33.8525492105487,0.0070554647,0.321338692557706,0.015346637,13.434469,12.880704,13.803166,0.92246246,NaN,NaN,NaN,6374891612082802391,195.872769394807,33.8525805940165,0.12153581263999,AIS,0.5557207,GALEX J130329.4+335109,1,110,110,-999,-999,17.65426,0.03757488,-999,-999,314.9894,10.89843,0.01220302,196.41984,33.53376,1932.297,1903.733,,9.338915,9.527126,1,-99,-99,256,0.03134004185357153,0.04001290525827893,0.022370607308143296,13.763153094741721,12.858333392691856,13.403128958146429,17.5659101352,0.9048197020498652,-1.7498869281241243
