,,,Name,_RA,_DEC,RVel,SNR,Teff,e_Teff,logg,e_logg,FeH,e_FeH,vt,e_vt,logL,f_logg,Teff-LAMOST,logg-LAMOST,FeH-LAMOST,LAMOST,Vmag,EBV-d,EBV-Na,B0mag,V0mag,g0mag,r0mag,J0mag,Ks0mag,dist,DR3Name_x,ra,ra_error,dec,dec_error,parallax,parallax_error,Gmag,RPmag,BPmag,BP-RP,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,Column0,DR3Name_y,RA,DEC,BP-RP_y,MatchID,MatchRA,MatchDEC,dstArcSec,survey,fov_radius,IAUName,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,ra_cent,dec_cent,xCenter,yCenter,SSAPFitsFile,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact,redG,redBP,redRP,bpDered,rpDered,gDered,NUVDered,bp_rp_dered,colorColorY
56,99,70,J0657+2948,104.280693,29.806152,234.6,52.1,6731,123,4.12,0.03,-2.89,0.09,1.36,0.30,0.488,0.048,0,6597,4.51,LAMOST,12.589,0.058,-9.900,12.788,12.435,12.327,12.234,11.624,11.427,0.000539704840519286,888129486543916160,104.28023746340857,0.012107317,29.80578517097369,0.011462335,1.7149045362013409,0.01333522,12.484742164611816,12.112736,12.700045,0.5873089,6719.0586,6678.276,6761.3555,4.138,4.1222,4.1515,-2.7885,-3.7463,-2.1873,70,8.88129486543916E+17,104.280237463409,29.8057851709737,0.5873089,6373976873171423100,104.280694039757,29.8061538159827,1.94818145211809,AIS,0.1537084,GALEX J065707.3+294822,3,308,217,19.61925,0.1122213,15.22925,0.008369045,51.55882,5.327805,2939.686,22.65411,0.08713168,104.40206,29.69424,1927.646,1895.406,,87.15681,85.70377,0,0.4789619,0.5259997,0,0.24051363100116752,0.29752339858794025,0.16206516804388554,12.40252160141206,11.950670831956115,12.244228533610649,14.5984166368,0.4518507694559446,-0.8233555292754566
57,100,71,J0701+1813,105.348488,18.229267,152.9,30.2,5093,48,2.36,0.07,-2.31,0.09,1.55,0.05,1.763,0.071,0,5215,1.95,LAMOST,12.746,0.043,0.064,13.238,12.632,13.128,12.537,11.139,10.615,4.979858679153743e-05,3364377384810729088,105.34848031887428,0.012540687,18.229213106814495,0.01114774,0.5448664578179463,0.014300874,12.499249458312988,11.908726,12.908852,1.0001259,,,,,,,,,,71,3.36437738481073E+18,105.348480318874,18.2292131068145,1.0001259,6378023065222120384,105.349135532233,18.2302361928783,4.31098668273562,AIS,0.4332928,GALEX J070123.7+181348,1,310,309,-999,-999,17.02045,0.02088197,-999,-999,564.7025,10.85829,0.07269037,105.40303,18.6605,1957.77,1943.717,,16.74249,15.49752,1,-99,-99,256,0.18554681152095373,0.23776790707638543,0.13300480864728928,12.671084092923614,11.77572119135271,12.313702646792034,16.4941717212,0.8953629015709037,-1.8249365973238616
58,101,72,J0703+3747,105.755608,37.790024,-40.3,26.6,6180,98,4.12,0.03,-2.42,0.09,1.54,0.15,0.339,0.042,0,6250,4.01,LAMOST,13.146,0.087,0.086,13.280,12.914,18.679,17.713,11.955,11.646,0.0006855189362613164,946923298155521024,105.75615678005397,0.0168175,37.78948256779798,0.014922743,1.6567960028368032,0.019193307,12.98118782043457,12.533465,13.259639,0.7261734,6677.1836,6652.4604,6689.989,4.2008,4.1799,4.2376,-2.4786,-2.4956,-2.3623,72,9.46923298155521E+17,105.756156780054,37.789482567798,0.7261734,6373800935204851737,105.756019390358,37.7899173974674,1.61344762270238,AIS,0.5108917,GALEX J070301.4+374723,3,217,217,21.16273,0.3021971,16.24989,0.01506143,12.44256,3.462345,1148.272,15.92507,0.1124359,106.24705,37.45862,1927.022,1861.282,,34.04438,34.62444,1,0.1155867,0.07707778,0,0.3036591595150654,0.37956178360382536,0.20818317296698702,12.880077216396174,12.325281827033013,12.677528660919505,15.435854084,0.5547953893631608,-1.1515037672951145
59,102,73,J0705+2552,106.426262,25.874069,63.0,65.1,5271,62,3.06,0.05,-3.32,0.09,1.44,0.11,1.123,0.053,0,5250,3.04,LAMOST,13.496,0.039,-9.900,14.055,13.391,13.647,13.199,12.047,11.551,2.1251215706219017e-05,883042050539140992,106.4262470703612,0.015312551,25.874054610492486,0.01540333,0.5799879577803427,0.018419959,13.317959785461426,12.752229,13.702866,0.95063686,,,,,,,,,,73,8.83042050539141E+17,106.426247070361,25.8740546104925,0.95063686,6378023024419932825,106.42654454069,25.8743477771038,1.42908350127585,AIS,0.07005666,GALEX J070542.3+255227,1,226,221,-999,-999,17.57946,0.03021953,-999,-999,337.4544,9.390159,0.06565526,106.44034,25.9433,1954.553,1951.309,,10.00496,10.0274,0,-99,-99,0,0.16897104535670324,0.21569397244812313,0.12037103254199939,13.487172027551876,12.631857967458,13.148988740104723,17.1041159176,0.8553140600938764,-1.7733852584716212
60,103,74,J0705+2922,106.454018,29.366991,-46.1,30.3,6210,85,4.05,0.04,-3.07,0.24,1.19,0.30,0.418,0.047,0,6347,4.30,LAMOST,15.016,0.065,0.064,99.990,14.842,14.865,14.694,13.831,13.564,3.826078737794202e-05,884908643326120448,106.45400831918383,0.02353059,29.366949535695884,0.022058247,0.6582283925693628,0.02634021,14.81545352935791,14.380941,15.075729,0.694788,6626.196,6582.767,6651.0728,4.3166,4.2201,4.3928,-3.6739,-4.0322,-3.2975,74,8.8490864332612E+17,106.454008319184,29.3669495356959,0.694788,6374012027476640514,106.454127247264,29.3671974525373,0.967356324387238,AIS,0.3720331,GALEX J070548.9+292201,1,213.05,213.05,-999,-999,17.86447,0.03155174,-999,-999,259.5435,7.540559,0.08597068,106.45127,29.73922,1937.904,1908.339,,7.695034,8.037495,0,-99,-99,0,0.23263215913111426,0.2904099573363736,0.15929301729956513,14.785319042663627,14.221647982700436,14.582821370226796,17.2420422768,0.5636710599631911,-1.237273142318653
61,104,75,J0709+3413,107.283463,34.224667,116.6,39.5,4976,30,2.26,0.07,-2.48,0.12,1.54,0.05,1.823,0.071,0,4815,2.51,LAMOST,14.065,0.031,0.036,14.716,13.981,14.261,13.783,12.419,11.863,1.1703933413102615e-05,891375386605400704,107.28347097626501,0.015040789,34.224649301667355,0.013487617,0.17031125723282484,0.016280672,13.832952499389648,13.212693,14.275028,1.062335,6248.2925,6218.842,6266.148,3.2891,3.2766,3.2941,-0.4249,-0.4266,-0.423,75,8.91375386605401E+17,107.283470976265,34.2246493016674,1.062335,6374011994190643868,107.283666071944,34.2247609523944,0.706257453042511,AIS,0.5068139,GALEX J070908.0+341329,1,201.05,201.05,-999,-999,19.13472,0.06353449,-999,-999,80.55857,4.712935,0.06311791,106.91608,34.63088,1899.99,1888.292,,2.388428,2.447067,17,-99,-99,0,0.15905657798940562,0.20501011887294682,0.11513661435228698,14.070017881127054,13.097556385647712,13.673895921400243,18.6777463316,0.972461495479342,-1.47620588840537
62,106,76,J0711+3538,107.810501,35.647243,-220.5,34.1,4702,58,1.49,0.12,-3.25,0.14,2.00,0.09,2.495,0.121,1,5040,1.76,LAMOST,14.122,0.036,0.042,14.929,14.025,14.365,13.749,12.276,11.637,1.5541710418797515e-05,897679024205551360,107.81051261272536,0.016774151,35.647221906776494,0.014705149,0.060597427255115494,0.01998262,13.83631706237793,13.155708,14.350998,1.1952896,,,,,,,,,,76,8.97679024205551E+17,107.810512612725,35.6472219067765,1.1952896,6374011985600711963,107.81063760173,35.6473838955897,0.688311585208555,AIS,0.298068,GALEX J071114.5+353850,1,265,265,-999,-999,20.35532,0.1145778,-999,-999,26.17404,2.761476,0.05338933,107.45067,35.59067,1901.635,1885.066,,0.7760168,0.6508785,256,-99,-99,0,0.13109257768234855,0.1710673620333805,0.09673942629274065,14.17993063796662,13.05896857370726,13.70522448469558,19.9687812508,1.120962064259361,-1.1537892292637766
63,107,78,J0714+1600,108.594429,16.011812,21.0,156.1,5083,30,2.39,0.04,-2.29,0.08,1.52,0.04,1.730,0.041,0,5237,1.89,LAMOST,11.494,0.070,-9.900,11.982,11.305,12.401,11.306,9.764,9.281,3.416729540104294e-05,3360259919923274496,108.5944704808356,0.016805436,16.01181224868725,0.015695658,0.7530053525206586,0.021555567,11.232223510742188,10.611638,11.672442,1.0608044,,,,,,,,,,78,3.36025991992327E+18,108.594470480836,16.0118122486872,1.0608044,6378058189464668493,108.595167777109,16.0116322966491,2.49833492218311,AIS,0.5552634,GALEX J071422.8+160041,1,333,333,-999,-999,16.33704,0.01183403,-999,-999,1059.7,11.54744,0.1292656,108.01749,16.01187,1880.672,1882.791,,31.41836,28.46227,273,-99,-99,0,0.32879328606219516,0.4223640374673213,0.23622510178166156,11.250077962532679,10.375412898218338,10.903430224679992,15.401157055999999,0.8746650643143408,-1.5163893727854036
64,108,79,J0723+3806,110.849220,38.103809,-212.3,42.8,6093,137,4.16,0.05,-3.04,0.16,1.41,0.28,0.275,0.065,0,6300,4.38,LAMOST,14.632,0.027,0.031,14.970,14.560,14.650,14.430,13.570,13.220,0.00010235561482122051,899693810543540096,110.84933998411339,0.019563112,38.103752673573204,0.019242818,0.9366687515963367,0.021274323,14.466103553771973,14.050724,14.715873,0.66514874,6580.4404,6498.2383,6612.3364,4.3946,4.3052,4.4112,-3.2077,-3.5873,-2.956,79,8.9969381054354E+17,110.849339984113,38.1037526735732,0.66514874,6373836139978032456,110.849263032442,38.1038938276952,0.552938522896827,AIS,0.4926412,GALEX J072323.8+380614,3,384,384,22.8501,0.4587232,17.28341,0.01606595,2.630038,1.11092,443.2384,6.557134,0.05182085,110.35352,38.4058,1974.661,1923.52,,13.14128,13.41523,17,0.02443206,0.03201237,0,0.14029365842590535,0.17500767204054346,0.0960660265974566,14.540865327959457,13.954657973402544,14.325809895346067,16.908227046,0.5862073545569135,-1.3682243123919102
65,109,80,J0723+5206,110.984802,52.110329,-45.2,6.9,4895,72,2.02,0.08,-2.59,0.16,2.82,0.27,2.034,0.083,0,4887,2.27,LAMOST,12.601,0.064,0.033,13.222,12.430,12.866,12.504,10.794,10.241,9.280523542536481e-05,986339587420861824,110.98478067140836,0.010796547,52.11023175617747,0.008868672,0.38873659083351453,0.013059902,12.307784080505371,11.663698,12.77585,1.1121521,,,,,,,,,,80,9.86339587420862E+17,110.984780671408,52.1102317561775,1.1121521,6373695356316683467,110.984744037061,52.1103241371321,0.342292319835456,AIS,0.5190955,GALEX J072356.3+520637,1,94,94,-999,-999,18.11235,0.05224217,-999,-999,206.5671,9.936936,0.06061009,110.38474,51.74622,1975.855,1955.177,,6.124372,6.263718,1,-99,-99,0,0.15128054967372984,0.19586470170572942,0.11029607811578715,12.57998529829427,11.553401921884213,12.15650353083164,17.6735329484,1.0265833764100574,-1.3070430787707457
66,111,81,J0726+3644,111.598083,36.734882,-133.8,27.9,6437,88,4.23,0.03,-2.13,0.11,1.82,0.14,0.300,0.040,0,6199,3.85,LAMOST,13.04,0.039,0.025,13.387,12.936,13.095,12.904,12.082,11.811,0.00013443253169871926,898769121265530240,111.5981932811926,0.021124642,36.73477025358627,0.022364898,1.6392425132707271,0.029982187,12.969247817993164,12.571011,13.2081,0.6370897,6600.2812,6555.309,6620.596,4.3547,4.2782,4.4066,-3.2783,-3.7518,-2.9774,81,8.9876912126553E+17,111.598193281193,36.7347702535863,0.6370897,3845619021463427844,111.598014281733,36.7349822860725,0.921602301773498,MIS,0.2743339,GALEX J072623.5+364405,1,1641,0,-999,-999,15.81298,0.004480266,-999,-999,1717.14,7.084019,0.05856087,111.40713,36.50741,1956.32,1921.732,,50.91035,50.02908,0,-99,-99,-999,0.15951222332463597,0.19845099580119463,0.10868416512104259,13.009649004198806,12.462326834878958,12.809735594668528,15.3889993012,0.5473221693198482,-1.1378426173721774
67,115,85,J0748+3209,117.089706,32.150372,-119.9,25.0,5029,53,2.33,0.07,-3.08,0.16,2.00,0.15,1.771,0.072,0,4789,2.93,LAMOST,13.067,0.069,-9.900,13.627,12.883,13.156,12.605,11.322,10.791,5.800393119848673e-05,881641444523743488,117.08975616832349,0.0139017245,32.150321449821476,0.011419487,0.31374502826140704,0.01846678,12.791630744934082,12.16668,13.24266,1.0759792,,,,,,,,,,85,8.81641444523743E+17,117.089756168323,32.1503214498215,1.0759792,2840155220280871922,117.08975235424,32.1507801569726,1.65138666262239,MIS,0.3529516,GALEX J074821.5+320902,1,3108.2,3108.2,-999,-999,17.8472,0.008885139,-999,-999,263.7046,2.157507,0.07594392,117.43504,32.34903,1935.757,1918.142,,7.818405,7.820504,0,-99,-99,0,0.19122373170485177,0.24660605466118452,0.13849472572979615,12.996053945338817,12.028185274270204,12.60040701322923,17.297366019200002,0.9678686710686133,-1.7854110876800666
68,116,88,J0753+2350,118.367493,23.839073,352.2,52.2,4929,66,2.03,0.07,-3.45,0.10,1.71,0.09,2.036,0.073,0,5070,2.73,LAMOST,13.701,0.056,0.092,14.337,13.551,13.879,13.355,11.963,11.359,5.837359053437733e-06,675440717478354560,118.3674976621803,0.012776017,23.839061265902565,0.008807263,0.19480636245573296,0.013853091,13.47816276550293,12.823806,13.955051,1.1312456,,,,,,,,,,88,6.75440717478355E+17,118.36749766218,23.8390612659026,1.1312456,6377882322365057796,118.367681021242,23.8393700091534,1.26488074284,AIS,0.5243831,GALEX J075328.2+235021,1,208,208,-999,-999,19.01227,0.06281346,-999,-999,90.17644,5.21574,0.06598821,117.80005,23.76684,1950.234,1915.345,,2.673582,2.814214,1,-99,-99,0,0.16423875318631384,0.21294304391169458,0.11999223593906339,13.742107956088304,12.703813764060936,13.313924012316615,18.5345153596,1.0382941920273687,-1.692559654080826
69,118,89,J0758+4703,119.568268,47.062038,-41.2,49.5,5766,61,4.08,0.08,-2.18,0.10,1.14,0.11,0.259,0.082,0,6000,4.01,LAMOST,14.582,0.053,-9.900,14.976,14.440,14.595,14.315,13.331,12.940,4.23220282013463e-05,932683488703778048,119.56826257228865,0.061433975,47.06199031862102,0.058681745,0.8699687517159388,0.08014457,14.43426513671875,13.922804,14.717755,0.79495144,6325.6064,6298.73,6358.0264,4.3884,4.3344,4.4284,-1.4963,-1.4991,-1.4897,89,9.32683488703778E+17,119.568262572289,47.061990318621,0.79495144,2419842711309786397,119.568253476793,47.0620915818695,0.365229443638861,MIS,0.250277,GALEX J075816.3+470343,3,2310,2310,21.71741,0.1670978,17.97432,0.01034366,7.465172,1.148631,234.5694,2.234167,0.06699431,119.65308,46.81861,1921.703,1934.75,,6.954595,7.021708,0,0.06934863,0.04892321,0,0.17748375624249527,0.22362492555957994,0.12361846882497705,14.49413007444042,13.799185531175022,14.256781380476255,17.4892811956,0.6949445432653985,-1.4621234723438397
70,119,90,J0759+5411,119.751060,54.185398,34.2,36.4,6493,145,4.16,0.05,-3.18,0.15,2.41,0.30,0.385,0.066,0,6287,4.53,LAMOST,15.355,0.044,0.030,15.602,15.238,15.374,15.172,14.335,14.108,5.5240836513090994e-05,984779380420021760,119.75108973502297,0.020848906,54.185338541334225,0.018157475,0.5315165689476475,0.0288604,15.253496170043945,14.836094,15.503625,0.667531,6618.7427,6590.346,6637.023,4.3325,4.2726,4.3857,-3.5921,-3.8344,-3.103,90,9.84779380420022E+17,119.751089735023,54.1853385413342,0.667531,6373695325180267728,119.751085880335,54.1855791966779,0.866397291486184,AIS,0.3643352,GALEX J075900.2+541108,3,104,104,21.37577,0.4341047,18.15393,0.05119054,10.22571,4.087503,198.8045,9.371002,0.03642949,119.93349,53.83737,1938.394,1975.332,,5.894224,6.045979,0,0.09499298,0.06193762,0,0.0983642052352046,0.12282102382354793,0.06750915150908525,15.380803976176452,14.768584848490914,15.15513196480874,17.8901804924,0.6122191276855382,-1.3427400075999447
71,122,91,J0801+4530,120.322937,45.500950,68.8,21.9,4966,70,2.30,0.06,-2.99,0.15,1.80,0.13,1.779,0.064,0,4870,0.97,LAMOST,13.295,0.059,-9.900,13.829,13.137,13.382,12.897,11.533,10.997,5.6132875730118335e-05,932282510557338368,120.32298168584127,0.012549726,45.50089490300968,0.012376666,0.3514130616792543,0.017034357,13.017181396484375,12.388418,13.467549,1.0791311,5771.021,5752.836,5831.47,2.8001,2.7925,2.82,-2.405,-3.1288,-2.2301,91,9.32282510557338E+17,120.322981685841,45.5008949030097,1.0791311,2419701973819334577,120.323119390378,45.5009780582371,0.458633229586626,MIS,0.5769468,GALEX J080117.5+453003,1,1563,1563,-999,-999,18.17741,0.01385302,-999,-999,194.5527,2.481715,0.06680799,120.60313,44.95878,1905.448,1935.643,,5.768165,5.810641,1,-99,-99,0,0.1679147602894629,0.21670419133198363,0.12178549843343676,13.250844808668017,12.266632501566564,12.849266636194912,17.693720152399997,0.984212307101453,-1.7208412402438222
72,124,92,J0804+4659,121.184547,46.997051,3.8,38.9,5812,86,3.06,0.13,-2.07,0.09,1.81,0.08,1.293,0.133,0,5860,4.18,LAMOST,12.429,0.024,0.043,12.897,12.366,12.498,12.424,11.241,10.897,0.0008819025740016587,932820785924560384,121.18567219307124,0.090934366,46.99748618639167,0.08169364,0.5548769793547498,0.11830798,17.562711715698242,16.765919,18.075312,1.3093929,4390.382,4380.629,4405.7646,4.7991,4.7613,4.8168,-1.0183,-1.1179,-0.8645,92,9.3282078592456E+17,121.185672193071,46.9974861863917,1.3093929,6373695403561323376,121.184623190411,46.9967073856274,3.8071754037896,AIS,0.3464479,GALEX J080444.3+465948,1,112,112,-999,-999,15.67036,0.0150508,-999,-999,1958.198,27.13855,0.0379877,121.09542,46.65568,1920.314,1922.918,,58.05734,58.49015,0,-99,-99,0,0.09114097025936517,0.12033577616980853,0.06838473030344792,17.95497622383019,16.697534269696554,17.47157074543888,15.395329052000001,1.2574419541336361,-10.340755365566876
73,125,93,J0804+5740,121.220154,57.672100,-318.1,43.4,4556,93,1.45,0.07,-2.47,0.09,1.94,0.05,2.480,0.075,0,4707,1.13,LAMOST,11.51,0.051,0.111,12.297,11.373,11.757,11.071,9.476,8.844,4.146940444773011e-05,1081668723016932736,121.22019685585241,0.011259986,57.67205769576607,0.012341547,0.2837311456567488,0.017143652,11.148216247558594,10.434461,11.704941,1.2704802,,,,,,,,,,93,1.08166872301693E+18,121.220196855852,57.6720576957661,1.2704802,6373589831117701409,121.220326366092,57.6722162214837,0.622778989448889,AIS,0.5488049,GALEX J080452.8+574019,1,266,266,-999,-999,18.6122,0.0389376,-999,-999,130.3528,4.673688,0.04202906,120.69212,58.14385,1708.759,2036.854,,3.864745,3.947661,1,-99,-99,0,0.10161948589511162,0.13363202908328964,0.0758299548717717,11.57130897091671,10.358631045128229,11.046596761663482,18.307909605600003,1.2126779257884817,-0.722713159583722
74,126,94,J0814+3305,123.554825,33.099293,93.2,25.2,5685,81,3.46,0.07,-3.34,0.25,0.35,0.30,0.854,0.074,0,5638,1.97,LAMOST,15.057,0.042,0.040,15.442,14.946,15.096,14.799,13.763,13.362,5.9425439700940874e-05,902428295962842496,123.55476166687582,0.02288054,33.09927347387944,0.018993586,0.2971660292206031,0.03110419,14.876274108886719,14.3713255,15.195334,0.82400894,6158.0337,6115.081,6199.991,3.7963,3.7458,3.8387,-2.0524,-2.1856,-1.9476,94,9.02428295962842E+17,123.554761666876,33.0992734738794,0.82400894,6374047198963831088,123.554943656642,33.0993894058561,0.68950554635356,AIS,0.4040508,GALEX J081413.1+330557,1,202,94,-999,-999,18.28329,0.04019167,-999,-999,176.4744,6.531123,0.05378971,123.53842,32.69558,1944.514,1903.402,,5.232173,5.395507,0,-99,-99,0,0.1414769285395486,0.17879898107712136,0.09911178534544993,15.016535018922879,14.27221371465455,14.73479718034717,17.8938524996,0.744321304268329,-1.820510087030856
75,127,95,J0814+4055,123.713181,40.929455,158.5,43.3,6125,149,4.42,0.04,-2.88,0.14,1.60,0.20,0.024,0.060,0,6083,4.40,LAMOST,12.403,0.038,0.017,12.746,12.301,12.395,12.396,11.287,10.986,0.0005038097057954164,909620884417824128,123.71348488315655,0.011539939,40.928998430569266,0.011966406,3.385779514668158,0.01664835,12.241090774536133,11.820846,12.493814,0.67296886,6235.3125,6226.241,6251.83,4.4542,4.45,4.4601,-2.6784,-2.7495,-2.6001,95,9.09620884417824E+17,123.713484883157,40.9289984305693,0.67296886,6373871300727801166,123.71334916294,40.9292123187834,0.853909873721845,AIS,0.215821,GALEX J081451.2+405545,3,207,207,21.47007,0.2379691,15.12788,0.009012025,9.375025,2.054297,3227.351,26.78174,0.04691539,123.46804,41.04007,1939.137,1930.836,,95.68562,95.04346,0,0.08709044,0.09077664,0,0.12674209085812063,0.15824383023749913,0.08693966360430205,12.335570169762502,11.733906336395698,12.114348683678012,14.7882125764,0.6016638333668034,-1.3636931150203555
76,128,96,J0815+3051,123.984779,30.865723,158.3,20.6,6451,136,3.87,0.07,-2.36,0.22,0.94,0.30,0.664,0.081,0,6361,4.49,LAMOST,15.021,0.048,0.023,15.202,14.891,14.943,14.784,14.039,13.765,3.139074950867181e-05,900787206138065920,123.98477508767367,0.030216187,30.86568673225723,0.0216839,0.5507143788072143,0.035401043,14.863458633422852,14.463066,15.099666,0.63659954,6700.3057,6662.804,6728.4673,4.427,4.4085,4.4411,-3.2655,-3.3728,-3.0306,96,9.00787206138066E+17,123.984775087674,30.8656867322572,0.63659954,3714064654225381752,123.984746648408,30.8658626064587,0.639217017143339,MIS,0.1465085,GALEX J081556.3+305157,3,1690.1,1690.1,22.87574,0.2322664,17.69118,0.0110397,2.568645,0.5493647,304.4591,3.09497,0.0402228,123.93502,30.72572,1946.373,1931.516,,9.026707,9.09192,0,0.02386175,0.01341841,0,0.10928108323328854,0.13607870751708906,0.07462863989707041,14.96358729248291,14.388437360102929,14.754177550189564,17.399966927999998,0.5751499323799809,-1.2019662658927297
77,130,97,J0816-0559,124.116592,-5.987040,184.9,35.4,4716,26,2.03,0.07,-3.56,0.12,2.09,0.13,1.960,0.070,0,4948,2.02,LAMOST,13.654,0.060,0.063,14.293,13.494,13.792,13.309,11.709,11.108,1.3608218422401125e-05,3064362275530429312,124.11661141138507,0.012226527,-5.987050403754432,0.009398879,0.15094046841714706,0.015455531,13.342547416687012,12.658256,13.8552065,1.1969509,6025.4995,6025.1123,6042.2144,2.6136,2.6107,2.6554,-0.5503,-0.5508,-0.55,97,3.06436227553043E+18,124.116611411385,-5.98705040375443,1.1969509,6378128638739482854,124.116463512537,-5.98717602166761,0.69635531169433,AIS,0.4800262,GALEX J081627.9-055913,1,112,112,-999,-999,19.55858,0.1029547,-999,-999,54.52139,5.168722,0.07399923,124.59838,-5.96085,1943.092,1934.456,,1.616469,1.718186,1,-99,-99,0,0.1821346255559124,0.23744403505903644,0.13416039324796095,13.617762464940963,12.524095606752038,13.1604127911311,19.0228255748,1.093666858188925,-1.4285564201150258
78,131,98,J0824+3025,126.247185,30.428350,18.1,19.6,6327,235,4.19,0.08,-2.72,0.21,1.34,0.30,0.310,0.107,0,6250,3.98,LAMOST,16.104,0.040,0.008,16.345,15.996,16.064,15.852,15.072,14.795,8.12702380198177e-05,708825223391675648,126.24721438978298,0.036237575,30.428265399851885,0.031229252,0.3669267130089581,0.047590464,15.92849349975586,15.5082445,16.183151,0.67490673,6153.6406,6142.6406,6175.6313,4.4659,4.4402,4.4997,-1.4749,-1.5426,-1.4102,98,7.08825223391676E+17,126.247214389783,30.4282653998519,0.67490673,3714310944827905205,126.247137443591,30.428451201169,0.710251519260812,MIS,0.1979663,GALEX J082459.3+302542,1,2603.7,2603.7,-999,-999,18.87291,0.01578856,-999,-999,102.5266,1.49056,0.0426623,126.01877,30.44907,1919.977,1933.633,,3.039745,3.099298,0,-99,-99,0,0.11514120864737488,0.14381274906458305,0.07904654345061349,16.039338250935415,15.429197956549386,15.813352291108485,18.564034948,0.6101402943860297,-1.3303704652650525
79,133,99,J0828+0037,127.042976,0.618464,305.0,64.8,6020,59,3.84,0.03,-2.21,0.10,1.38,0.08,0.574,0.035,0,6024,3.86,LAMOST,12.669,0.026,0.011,13.016,12.599,12.687,12.412,11.534,11.249,0.0002768760009979584,3077696843314224128,127.04282548839505,0.015616133,0.6182299015524959,0.009337467,1.4367695699087308,0.023275014,12.49915599822998,12.074347,12.7588215,0.68447495,6512.7812,6434.532,6546.189,4.0037,3.9474,4.0436,-2.1953,-2.36,-2.02,99,3.07769684331422E+18,127.042825488395,0.618229901552496,0.68447495,6377952735134748297,127.042982178655,0.618547358325474,1.27445989909475,AIS,0.4607225,GALEX J082810.3+003706,3,111,111,20.99044,0.307343,15.66717,0.01538268,14.58232,4.126863,1963.959,27.81855,0.0476431,127.30304,0.23823,1921.37,1936.7,,58.22812,58.79847,1,0.1354642,0.09254393,0,0.1284507275351095,0.16052389763654265,0.08825156438842707,12.598297602363457,11.986095435611572,12.37070527069487,15.322233956,0.6122021667518851,-1.1562361261172338
80,134,100,J0830+1214,127.542694,12.246818,109.2,14.9,4810,49,2.14,0.30,-3.38,0.19,2.28,0.24,1.884,0.300,1,5000,1.65,LAMOST,15.02,0.028,0.024,15.764,14.945,15.230,14.651,13.243,12.654,3.840736184144068e-06,602707542264045568,127.54270349948185,0.022430796,12.246813943927839,0.016289629,0.061021014676155165,0.027031131,14.722243309020996,14.061787,15.206867,1.1450806,,,,,,,,,,100,6.02707542264046E+17,127.542703499482,12.2468139439278,1.1450806,6377811926777335140,127.542580345981,12.2469441911933,0.638415909753818,AIS,0.3820981,GALEX J083010.2+121449,1,110,110,-999,-999,20.70696,0.2147956,-999,-999,18.9328,3.744643,0.03171944,127.78428,11.9467,1937.967,1929.163,,0.5613261,0.6257545,0,-99,-99,0,0.07838907657620106,0.10194519995562806,0.05757916408018856,15.104921800044373,14.004207835919813,14.643854232444795,20.4773112544,1.1007139641245605,-1.399572821430639
81,137,101,J0830+1751,127.543121,17.862062,21.0,17.2,6164,136,4.15,0.04,-1.80,0.13,1.27,0.18,0.305,0.057,0,6155,4.14,LAMOST,12.75,0.023,0.042,13.021,12.687,12.859,12.610,11.709,11.429,0.00023261426459091577,662181088284133248,127.5429900995783,0.013597084,17.861863332448827,0.008338595,2.0076439926759457,0.015874045,12.604402542114258,12.199197,12.848066,0.6488695,6428.791,6422.4346,6436.8076,4.223,4.217,4.2308,-1.8783,-1.9015,-1.8557,101,6.62181088284133E+17,127.542990099578,17.8618633324488,0.6488695,3796255347422790691,127.542791287456,17.8618430944741,0.685109840398329,MIS,0.465756,GALEX J083010.2+175142,1,2034.2,0,-999,-999,15.58422,0.003660871,-999,-999,2119.89,7.146081,0.03574577,127.58486,18.32588,1948.604,1940.85,,62.85123,61.61987,17,-99,-99,-999,0.09683790412700644,0.12073343552932196,0.06628710255388631,12.727332564470677,12.132909897446114,12.507564637987251,15.3254206252,0.5944226670245634,-1.14272925257392
