,,,Name,_RA,_DEC,RVel,SNR,Teff,e_Teff,logg,e_logg,FeH,e_FeH,vt,e_vt,logL,f_logg,Teff-LAMOST,logg-LAMOST,FeH-LAMOST,LAMOST,Vmag,EBV-d,EBV-Na,B0mag,V0mag,g0mag,r0mag,J0mag,Ks0mag,dist,DR3Name_x,ra,ra_error,dec,dec_error,parallax,parallax_error,Gmag,RPmag,BPmag,BP-RP,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,Column0,DR3Name_y,RA,DEC,BP-RP_y,MatchID,MatchRA,MatchDEC,dstArcSec,survey,fov_radius,IAUName,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,ra_cent,dec_cent,xCenter,yCenter,SSAPFitsFile,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact,redG,redBP,redRP,bpDered,rpDered,gDered,NUVDered,bp_rp_dered,colorColorY
10,18,10,J0037+2935,9.282562,29.585054,-31.9,19.1,6019,93,4.37,0.03,-2.89,0.18,1.15,0.27,0.043,0.041,0,6097,4.22,LAMOST,15.064,0.053,0.042,15.221,14.923,15.019,14.801,13.977,13.545,0.00013036138438147623,2858388735073787776,9.282717930880475,0.021092609,29.585084250702266,0.016611632,0.9405620702988691,0.02636739,14.899601936340332,14.468425,15.156439,0.68801403,6516.057,6486.284,6536.5435,4.458,4.4346,4.4832,-3.2996,-3.3804,-3.2018,10,2.85838873507379E+18,9.28271793088047,29.5850842507023,0.68801403,6376721224127480409,9.28232138698795,29.5851536109518,1.2663000175912,AIS,0.4401829,GALEX J003707.7+293506,1,108,108,-999,-999,17.87462,0.04382116,-999,-999,257.1282,10.37537,0.04798613,9.61948,29.9139,1943.497,1926.542,,7.623424,7.797237,1,-99,-99,0,0.12929814410252094,0.16162741473771886,0.08887577751811614,14.994811585262282,14.379549222481884,14.770303792237812,17.5272004188,0.6152623627803973,-1.3716068756129145
11,19,11,J0040+2729,10.052171,27.490208,-91.4,52.0,4574,78,1.34,0.07,-2.81,0.11,2.16,0.07,2.597,0.074,0,4848,1.00,LAMOST,11.143,0.044,0.053,11.960,11.025,11.869,10.995,9.150,8.509,9.432035153110664e-05,2809551447929127040,10.052283437220426,0.0131792715,27.490186168456678,0.009673586,0.3461235249738533,0.015679583,10.809775352478027,10.096559,11.36398,1.2674217,,,,,,,,,,11,2.80955144792913E+18,10.0522834372204,27.4901861684567,1.2674217,6376721257413478854,10.0520546508327,27.4901894309449,0.730729129115511,AIS,0.5134288,GALEX J004012.4+272924,1,105,104,-999,-999,18.02472,0.04789126,-999,-999,223.9305,9.875059,0.05243132,10.59505,27.3135,1924.497,1929.611,,6.639168,6.592033,1,-99,-99,0,0.12701300603938673,0.1668734556329565,0.09464782123351362,11.197106544367044,10.001911178766486,10.68276234643864,17.645117243199998,1.1951953656005578,-0.9334279856816554
12,21,12,J0041+3633,10.253755,36.561050,-137.0,56.0,5155,74,2.03,0.06,-2.37,0.11,2.05,0.06,2.114,0.064,0,5136,1.16,LAMOST,12.363,0.041,0.028,12.953,12.254,12.415,11.926,10.774,10.282,5.923329726889839e-05,365840847508048384,10.253771571271006,0.0094829695,36.56099245630803,0.0069891,0.29726977258158543,0.011318622,12.14727783203125,11.546825,12.567511,1.0206852,,,,,,,,,,12,3.65840847508048E+17,10.253771571271,36.560992456308,1.0206852,6372252844305681427,10.2535913491525,36.5610869266389,0.622286491497982,AIS,0.2696489,GALEX J004100.8+363339,1,234,0,-999,-999,17.58303,0.02652004,-999,-999,336.3474,8.213579,0.04866853,9.98613,36.39842,1909.553,1939.898,,9.972144,10.25261,0,-99,-99,-999,0.12335418165187445,0.1585344674033745,0.08891337566681537,12.408976532596625,11.457911624333185,12.023923650379375,17.2306698428,0.9510649082634401,-1.0985298929436098
13,22,13,J0054+2649,13.513133,26.819372,-307.5,55.8,6320,134,4.07,0.04,-3.22,0.12,1.45,0.23,0.428,0.057,0,6361,4.26,LAMOST,14.351,0.060,-9.900,14.553,14.190,14.256,14.099,13.225,12.961,0.00011155796688592818,2808707233453225472,13.513208424510227,0.023362856,26.819467880992594,0.015287445,0.8507048994551897,0.025311355,14.197881698608398,13.783629,14.448962,0.6653328,6645.6055,6627.7676,6666.825,4.1234,4.0859,4.1621,-2.1639,-2.5349,-1.8945,13,2.80870723345323E+18,13.5132084245102,26.8194678809926,0.6653328,6387980184541201963,13.51318076323,26.8193630134668,0.38784196303919,AIS,0.2846158,GALEX J005403.1+264909,1,110,110,-999,-999,17.15065,0.03122051,-999,-999,500.8854,14.39954,0.0538487,13.19873,26.86722,1927.598,1930.446,,14.85042,15.24266,0,-99,-99,0,0.14582135507027924,0.18188746001220116,0.09982809614212267,14.2670745399878,13.683800903857877,14.05206034353812,16.760785411999997,0.5832736361299222,-1.2283749214528958
14,23,15,J0056+3533,14.014032,35.566036,-233.8,65.7,6607,34,2.73,0.05,-2.17,0.13,3.25,0.30,1.845,0.051,0,6460,2.86,LAMOST,11.513,0.048,0.031,11.727,11.385,11.438,11.335,10.713,10.489,7.884939881049039e-05,363101693459636608,14.013985483766772,0.017379668,35.5659734267538,0.014529904,0.5575457923561171,0.020908475,11.489734649658203,11.12393,11.666627,0.54269695,11654.317,11624.579,11706.616,3.7302,3.7218,3.7419,-1.2389,-1.2401,-1.2359,15,3.63101693459637E+17,14.0139854837668,35.5659734267538,0.54269695,6372393548510136247,14.0139641157308,35.5662470910985,0.987176832813911,AIS,0.3751243,GALEX J005603.3+353358,3,109,109,17.19139,0.0530916,14.50901,0.009121646,482.4428,23.58533,5706.846,47.93354,0.04525985,14.47073,35.51549,1906.153,1924.38,,169.1985,166.9356,0,4.481712,4.548884,0,0.12517841176442543,0.15461989721451286,0.08426152614640947,11.512007102785487,11.03966847385359,11.364556237893778,14.181328686,0.4723386289318974,-0.37860705171553555
15,26,16,J0102+0523,15.637331,5.394999,45.7,41.0,6364,52,2.69,0.08,-3.07,0.08,3.55,0.29,1.820,0.082,0,6117,2.97,LAMOST,12.87,0.038,0.027,13.013,12.768,12.982,12.733,11.844,11.566,3.7341293917082276e-05,2552333797966961664,15.637368788178822,0.018181702,5.394978720381917,0.012269823,0.25665180804894605,0.02254319,12.86465835571289,12.485308,13.134968,0.6496601,6031.867,5963.2515,6085.4165,2.8435,2.8348,2.8506,-1.7312,-1.7972,-1.6757,16,2.55233379796696E+18,15.6373687881788,5.39497872038192,0.6496601,6380239619462529960,15.6372679321177,5.39492720323187,0.406274683218232,AIS,0.3804168,GALEX J010232.9+052341,3,335,335,18.91164,0.04961416,16.05782,0.01037412,98.93391,4.519819,1370.481,13.09166,0.0255533,15.591,5.77255,1881.782,1903.862,,40.63249,40.84598,0,0.9190587,0.9275654,0,0.06911477285727444,0.08621833398098394,0.04737625906324787,13.048749666019017,12.437931740936753,12.795543582855617,15.872814108,0.6108179250822641,-0.962160760747607
16,27,17,J0102+1052,15.645967,10.879296,-130.7,24.5,5995,120,4.52,0.04,-3.11,0.19,0.30,0.30,-0.113,0.054,0,6000,4.36,LAMOST,15.226,0.031,0.047,15.644,15.142,15.343,15.089,14.066,13.744,9.230406370931585e-05,2583190938965264256,15.645978713984253,0.024211148,10.879204731393806,0.018656397,1.0615280449145943,0.028582381,15.12783145904541,14.661653,15.418871,0.75721836,6230.259,6188.1064,6392.588,4.5222,4.4085,4.5558,-3.0306,-3.4268,-2.2105,17,2.58319093896526E+18,15.6459787139843,10.8792047313938,0.75721836,6380204461931890641,15.6457805346881,10.8794929319866,1.25192817933696,AIS,0.1104725,GALEX J010234.9+105246,1,261.1,261.1,-999,-999,18.28301,0.03461678,-999,-999,176.5201,5.626664,0.04303766,15.71864,10.96367,1906.806,1913.015,,5.233529,5.327251,0,-99,-99,0,0.11442232281255602,0.14388508493453295,0.07949293629831673,15.274985915065466,14.582160063701682,15.013409136232854,17.971417341600002,0.6928258513637839,-1.6597821513100035
17,34,19,J0119+2425,19.871023,24.425343,-93.2,68.6,6288,115,4.26,0.03,-2.81,0.09,1.54,0.12,0.229,0.046,0,6347,4.38,LAMOST,11.716,0.060,-9.900,11.971,11.555,11.687,11.572,10.611,10.329,0.00043903321194983336,293278994244668800,19.87108355252571,0.030999968,24.42490697057286,0.020750998,3.6419177858245964,0.041474167,11.60902214050293,11.178788,11.866325,0.6875372,6509.457,6480.3726,6529.263,4.2323,4.2067,4.2567,-2.5756,-3.8026,-2.1174,19,2.93278994244669E+17,19.8710835525257,24.4249069705729,0.6875372,6387980256484003005,19.8706683109824,24.4250418179361,1.44506462878808,AIS,0.57442,GALEX J011928.9+242530,3,441.35,259.35,19.50412,0.1085413,14.77987,0.005153256,57.32629,5.729531,4446.831,21.10097,0.07384497,20.45039,24.19955,1947.855,1921.398,,131.8412,127.5751,1,0.5325395,0.5292967,256,0.1997351574091105,0.24934499175371794,0.136833749748362,11.616980008246282,11.041954250251639,11.40928698309382,14.2452324172,0.5750257579946432,-1.1014571502681099
18,30,18,J0119-0121,19.913881,-1.363738,-68.7,39.3,6262,164,4.15,0.06,-3.19,0.16,1.69,0.30,0.332,0.078,0,6388,4.19,LAMOST,15.127,0.034,0.052,15.472,15.036,15.109,14.947,14.183,13.779,9.579078076140428e-05,2533491432841892864,19.913874819392984,0.03129172,-1.3638324917643831,0.025585838,0.5817518763574127,0.036596216,14.991808891296387,14.603702,15.220208,0.6165066,6588.414,6547.9395,6614.6094,4.2395,4.2051,4.2582,-1.769,-1.8471,-1.654,18,2.53349143284189E+18,19.913874819393,-1.36383249176438,0.6165066,2913409082971923416,19.9135098727208,-1.36344195442463,1.9239972909714,MIS,0.4920423,GALEX J011939.2-012148,3,3262.15,3262.15,22.39611,0.1572917,17.76291,0.008347005,3.995384,0.5786746,284.994,2.190466,0.04617227,20.23863,-1.73288,1904.101,1921.898,,8.4496,8.342605,0,0.03711561,0.0468919,0,0.12601419757311677,0.15660684756617133,0.08573805553045384,15.063601152433828,14.517963944469546,14.86579469372327,17.4286227652,0.5456372079642815,-1.1098279778642164
19,36,20,J0124+0458,21.010971,4.970934,-173.7,33.9,4784,27,1.58,0.12,-3.22,0.11,2.17,0.09,2.435,0.120,1,5140,1.78,LAMOST,12.528,0.029,0.025,13.217,12.450,12.793,12.148,10.741,10.141,3.838369127233751e-05,2563539603865382656,21.010960473546287,0.013590804,4.970900138948927,0.010167606,0.16708355432002137,0.016218642,12.232345581054688,11.579325,12.713494,1.1341696,,,,,,,,,,20,2.56353960386538E+18,21.0109604735463,4.97090013894893,1.1341696,2917138626411240275,21.0109666800032,4.97081844424416,0.294942085268859,MIS,0.3432989,GALEX J012402.6+045814,1,2273.75,2273.75,-999,-999,18.24631,0.009118845,-999,-999,182.5902,1.53316,0.02656333,20.67533,4.89315,1789.813,1971.958,,5.413497,5.463297,256,-99,-99,256,0.0657347621689214,0.08542745034298993,0.04823771159834427,12.62806654965701,11.531087288401656,12.166610818885767,18.0539914908,1.0969792612553544,-1.3087192884144896
