,Teff,FeH,logg,SOURCE_ID,e_bv,bpDered,rpDered,gDered,NUVDered,bp_rp_dered,colorColorY
0,4720,-2.84,1.64,4632302346781151488,0.07917057,14.032363369430062,12.947809103669167,13.577223392744484,19.5179150732,1.0845542657608949,-1.3039716542458164
1,5071,-1.49,2.32,4750437655640204672,0.01725332,14.706869311077472,13.616029354201372,14.246823806433245,20.0581059632,1.090839956876101,-1.3219722564946563
2,5890,-2.48,3.27,3823746299149702912,0.02626523,16.484266834749164,15.902944638695102,16.26826653993122,18.9284097348,0.581322196054062,-1.1898645395514054
3,4720,-2.96,1.79,5461712380484527104,0.07400279,14.964898464660738,13.926459841627635,14.538312371818439,20.252909800399998,1.0384386230331035,-1.219247249315175
4,4648,-2.82,1.70,5461371257003291008,0.05468017,15.03307309458538,13.887300849226607,14.545097534034126,21.0981455692,1.1457722453587724,-1.0281020256320206
5,4665,-2.25,1.47,3782888172183427840,0.05341361,14.091241401883266,12.871706906541815,13.561971360618584,20.168325463600002,1.2195344953414509,-1.4494197561194282
6,5170,-2.43,2.62,6550624269490355456,0.01748216,16.2868417610866,15.392636266398092,15.929323478409009,20.2849091616,0.8942054946885065,-1.5017045538752907
7,4810,-2.21,1.90,2307996956788376704,0.009165802,14.095373132320102,12.99904488079999,13.633810924402752,20.10772959352,1.0963282515201112,-0.6749500413607246
8,4711,-2.18,1.56,4972144279777499776,0.01312367,14.211136443826227,12.99284820823914,13.682940899292458,21.014574629200002,1.218288235587087,-0.6190529021160627
9,4639,-2.43,1.56,4924443101677817984,0.0156727,15.062019316581818,13.796793621468327,14.506020624443941,21.459349652,1.2652256951134913,-1.3082908662376944
10,4765,-3.00,1.90,4977550544093082624,0.01166383,14.742578180492414,13.715529191598526,14.319762069450658,19.7415038708,1.0270489888938883,-1.2833695570102748
11,4720,-2.41,1.82,4975489337747579136,0.01425484,13.56417155673388,12.393951106662614,13.063936346400025,20.039024958400002,1.170220450071266,-0.6662019670632269
12,4630,-3.17,1.37,4974720126284150400,0.01158344,15.312414719682579,14.20043872418976,14.843994617253923,20.8196958944,1.1119759954928181,-1.2807830763033197
13,4468,-3.67,1.05,4925175685659515648,0.01285692,14.483372283437415,13.361057686031625,14.009737487804431,20.0983858992,1.12231459740579,-1.2381199839376347
14,5413,-3.78,3.41,4903905598859396480,0.0188601,15.366940562403638,14.515460949634425,15.03245343074782,18.913652876,0.8514796127692126,-1.7022876069998807
15,4810,-2.86,1.90,4926978266253100672,0.01688044,14.313900666882097,13.372176674783027,13.93497563100009,18.5651756144,0.9417239920990692,-1.5340403342439481
16,4486,-3.63,1.15,4927175937828177280,0.01200263,13.803865358365345,12.690757198201709,13.334286421955216,19.3480009588,1.1131081601636357,-1.2511575822636312
17,4855,-2.85,2.04,5032890166907460992,0.030945,12.657954301398151,11.691436467930767,12.265383217042535,17.0697082,0.9665178334673836,-1.5564307175379932
18,4698,-1.49,1.34,4929544698191619968,0.01212117,14.326282421037526,12.9318196135505,13.694475845150821,21.5825827292,1.3944628074870256,-1.2043485194656665
19,4945,-2.60,1.88,5011258100264740736,0.014087,13.099040383544496,12.140026650620054,12.709048876127442,17.861050119999998,0.9590137329244417,-1.1174001440088732
20,4639,-2.53,1.65,4633520777463318400,0.06383521,14.185289666208622,12.869920498897697,13.60192631706548,21.1970530796,1.3153691673109247,-1.1058225079210118
21,4810,-2.95,2.02,4633304379831604992,0.06504633,14.792667452786414,13.819048577501526,14.397804554930225,19.5084945708,0.9736188752848882,-1.3816736185517726
22,5008,-2.55,2.19,4942994611617199872,0.01581632,13.924512983811136,12.985391361740104,13.5461026605568,18.445589843199997,0.9391216220710312,-1.245149700261706
23,4630,-3.21,1.48,4743316324985830784,0.03028369,13.6527011788415,12.528098255939057,13.177200462466473,19.532866084400002,1.1246029229024437,-1.0287799144658827
27,4846,-3.74,2.33,4739093513140451200,0.04293858,13.470406834792316,12.523232016007462,13.08888885342685,17.9537246808,0.9471748187848537,-1.4007896413015475
36,4900,-2.43,2.12,4643712185100788608,0.0395534,13.865225580322711,12.90320589812666,13.474219029736949,18.474863384000002,0.9620196821960505,-1.3526515502743255
37,5134,-2.54,2.81,4633685223171153408,0.06386971,15.218248614495074,14.320475771623764,14.860416048416452,19.151943299600003,0.8977728428713103,-1.7071421790635144
41,4882,-2.77,2.05,4744966898097944192,0.03030167,13.162389916032264,12.19860653514361,12.771611047029571,17.776825909200003,0.9637833808886551,-1.3361820665762556
42,4720,-3.20,1.71,4738641167184881536,0.03506249,15.126127526229814,14.136132995449552,14.72423200573967,19.944787572400003,0.9899945307802618,-1.3028008776716984
43,4720,-3.15,1.70,5049916997816908928,0.02714876,15.423158703557434,14.373607875536601,14.991059501886598,20.3602329776,1.0495508280208323,-1.5206734045354109
44,4999,-3.09,2.38,4750024273628038784,0.01446024,14.997730525245007,14.061722188553492,14.623462886171438,19.1840878624,0.9360083366915148,-1.5603438260948472
45,4675,-3.19,1.43,4854820204340366208,0.03048275,15.418711996033485,14.371467616414513,14.986754678715892,20.50498489,1.0472443796189719,-1.3649465775233187
54,4882,-3.22,2.11,4670401077518232960,0.04730527,14.311964234868215,13.350237233879968,13.922609783492868,18.7246798452,0.9617270009882475,-1.5688416612236082
55,4900,-2.95,2.28,4629230620532177920,0.1438462,13.634303626590825,12.702212886081949,13.259670880806325,17.897903512,0.9320907405088761,-1.7817673013076956
56,4567,-2.82,1.13,4782682311593928320,0.01501516,13.47321648680584,12.256928889176221,12.947468951419635,20.0971902416,1.21628759762962,-0.7925511429925294
57,5170,-3.06,2.78,4820909925710430976,0.02800636,12.942787820499133,12.10164322418574,12.613770653041653,-999.2027660464,0.8411445963133932,-1017.356595922437
58,5404,-2.42,3.23,4765531991784712576,0.07447544,14.247456865411234,13.44001099527649,13.931481037553299,17.6636078144,0.8074458701347442,-1.7093973414758379
59,4693,-2.34,1.54,5285261311351187712,0.07197776,13.657608959818168,12.560616847584962,13.19684441514597,19.552301017599998,1.096992112233206,-0.9520887119158417
60,4801,-1.95,1.53,5215145557926002048,0.281752,13.699607467202375,12.549950732720447,13.211963524757282,20.238865519999997,1.149656734481928,-1.1148392541325345
61,4459,-3.48,1.20,5736648424105052800,0.0453195,14.421381459480628,13.209233177016383,13.898236164599822,21.375786820000002,1.2121482824642449,-0.5109540160175907
62,4945,-2.27,2.05,5736185220472014336,0.0670903,14.13679021015758,13.18580579163839,13.751149803564854,18.822226228,0.9509844185191891,-1.2799674923747277
63,5170,-2.54,2.79,5757892844179056768,0.04135561,15.779358963757192,14.903439933985005,15.43402363588244,19.6027953836,0.8759190297721862,-1.6310713099192098
64,5062,-2.97,2.54,3839832089839503488,0.0336435,15.644279896983745,14.743419258588979,15.285369920621697,19.58874106,0.9008606383947662,-1.63844908956598
65,5440,-2.28,3.31,3820511952552845312,0.03102111,15.696133274311597,14.887539021916988,15.383191234641258,19.248067163600002,0.8085942523946095,-1.471870476964959
66,4900,-2.95,1.96,3821097781797222528,0.02806209,15.80994085977816,14.865166300278227,15.42840387451861,20.1724804684,0.9447745594999333,-1.4683551683495661
70,5097,-2.85,2.57,5692259902740463360,0.04599775,13.620883076270127,12.753566572611222,13.27844878905937,17.40869629,0.8673165036589054,-1.6257334837828843
71,5035,-2.50,2.39,3833357512540069888,0.03393085,15.337767549937064,14.358328181803078,14.939981731400986,19.957750646,0.9794393681339866,-1.4343042468709113
72,5022,-1.78,2.22,5388294656205380992,0.3197668,13.17453373674105,12.15147831204667,12.75476383802758,18.211838368,1.0230554246943804,-1.9658328925134736
73,4954,-1.91,2.23,5388282217980329472,0.3173066,13.653145276793564,12.53822868911518,13.185409037139232,18.948120216,1.114916587678385,-2.2390646039095037
74,5485,-2.83,3.56,3784174635147822848,0.03799521,16.106795652796052,15.389603555243516,15.829664565671765,18.9574546796,0.7171920975525357,-1.6345959544914797
75,4882,-2.46,2.06,6144678597923885824,0.1121063,12.753142694285412,11.784072186469684,12.358256963591534,17.552190388,0.9690705078157276,-1.3859389128022288
76,4792,-1.99,1.69,6143888938119406208,0.1729905,13.768781038590094,12.641687243921282,13.29290120559252,19.71082878,1.127093794668811,-1.3261578853472722
77,5062,-2.53,2.65,3521531170180277760,0.04957541,16.356441240628474,15.512761045951622,16.022355537989416,19.940764031599997,0.8436801946768515,-1.693639233799538
