,,,Name,FeH,Teff,logg,RAdeg,DEdeg,dist_x,SOURCE_ID,RA,ra_error_x,DEC,dec_error_x,parallax_x,parallax_error_x,phot_g_mean_mag_x,phot_rp_mean_mag_x,phot_bp_mean_mag_x,bp_rp_x,mh_gspphot_x,mh_gspphot_lower_x,mh_gspphot_upper_x,Column0,dist_y,ra_y,ra_error_y,dec_y,dec_error_y,parallax,parallax_error_y,Gmag,RPmag,BPmag,BP-RP,mh_gspphot_y,mh_gspphot_lower_y,mh_gspphot_upper_y,MatchID,MatchRA,MatchDEC,dstArcSec,survey,fov_radius,IAUName,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,ra_cent,dec_cent,xCenter,yCenter,SSAPFitsFile,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact,redG,redBP,redRP,bpDered,rpDered,gDered,NUVDered,bp_rp_dered,colorColorY
0,2,2,BS16080-054,-3.0,4805,1.48,147.40814999999967,60.96184,0.008402000920547022,1050742003548359808,147.4172974306051,0.0448197,60.95470210743923,0.05296536,0.18849598689562216,0.07129963,17.434238,16.968412,17.74453,0.7761173,-0.9773,-1.0263,-0.9308,2,0.00840200092054702,147.417297430605,0.0448197,60.9547021074392,0.05296536,0.188495986895622,0.07129963,17.434238,16.968412,17.74453,0.7761173,-0.9773,-1.0263,-0.9308,6373624959655221277,147.417954343031,60.9542911474462,1.87271569412622,AIS,0.6004339,GALEX J094940.3+605715,1,319.1,216.1,-999,-999,21.45163,0.3198061,-999,-999,9.535605,2.808052,0.02570553,148.00028,60.42584,1899.189,1852.931,,0.2827149,0.3245678,32,-99,-99,32,0.06794009703755809,0.08563747014534183,0.04742746409817466,17.658892529854658,16.920984535901827,17.366297902962444,21.2655219628,0.737907993952831,-0.965117997893401
1,3,6,BS16550-087,-3.5,4750,1.31,309.1702499999993,18.02332,0.0033042809214662125,1812267669662305664,309.1737148150607,0.034626693,18.023001083278125,0.029309466,0.3108120646747056,0.050389636,16.313932,15.755974,16.70865,0.9526768,-0.3308,-0.3652,-0.2904,6,0.00330428092146621,309.173714815061,0.034626693,18.0230010832781,0.029309466,0.310812064674706,0.050389636,16.313932,15.755974,16.70865,0.9526768,-0.3308,-0.3652,-0.2904,6376510098567597344,309.17365666566,18.0231734502082,0.651669805599011,AIS,0.1921733,GALEX J203641.6+180123,1,205.05,205.05,-999,-999,22.11986,0.4300923,-999,-999,5.152942,2.040737,0.1209611,308.97239,18.04056,1893.148,1911.849,,0.1527762,0.1100258,0,-99,-99,0,0.31359323512111914,0.399322333616868,0.222032571706161,16.30932766638313,15.53394142829384,16.000338764878883,21.244101636,0.7753862380892897,-0.10984091158038467
2,4,15,CS22957-022,-2.9,5163,2.47,6.593699999999999,-5.82961,0.008152024899837787,2431588832618659200,6.586036250236067,2.7866886,-5.832478854745016,1.8020333,,,13.964197,12.742978,13.802523,1.0595446,,,,15,0.00815202489983779,6.58603625023607,2.7866886,-5.83247885474502,1.8020333,NaN,NaN,13.964197,12.742978,13.802523,1.0595446,NaN,NaN,NaN,6380310055850348165,6.58563794549791,-5.83234736347995,1.50296599024823,AIS,0.5736611,GALEX J002620.5-054956,1,121,122,-999,-999,20.46093,0.1675474,-999,-999,23.74809,3.66384,0.03929287,6.59237,-6.40597,1921.916,1902.166,,0.7040915,0.6078138,0,-99,-99,0,0.09875313043569998,0.12740482209579432,0.07163775350620549,13.675118177904206,12.671340246493795,13.8654438695643,20.1764496212,1.0037779314104114,-0.31230393296767467
3,7,23,CS30336-049,-3.95,4827,1.51,350.2207499999991,-28.70997,0.008872497070607546,2330048452756935808,350.22082213580916,0.22761817,-28.701094276538964,0.25714368,0.5390698243915509,0.30470824,19.46628,18.508825,20.29265,1.7838249,,,,23,0.00887249707060755,350.220822135809,0.22761817,-28.701094276539,0.25714368,0.539069824391551,0.30470824,19.46628,18.508825,20.29265,1.7838249,NaN,NaN,NaN,6380732242545608262,350.220404373611,-28.700647029811,2.08148682188752,AIS,0.5075938,GALEX J232052.9-284202,1,270.1,219,-999,-999,22.74388,0.3474966,-999,-999,2.90032,0.92804,0.02206582,350.73646,-28.47193,1934.254,1916.076,,0.08598969,-0.06074442,0,-99,-99,0,0.04841090467346844,0.06763435165216568,0.03850594011158899,20.22501564834783,18.470319059888414,19.417869095326534,22.5841234632,1.7546965884594172,-8.287684361786212
4,9,25,CS31085-024,-2.7,5949,4.57,31.731299999999994,10.90722,0.00738717534526219,2571240961263300864,31.736341062549684,1.0481888,10.901729202878865,0.9401616,1.8985631451764626,1.3433238,20.740595,20.921524,21.040077,0.11855316,,,,25,0.00738717534526219,31.7363410625497,1.0481888,10.9017292028789,0.9401616,1.89856314517646,1.3433238,20.740595,20.921524,21.040077,0.11855316,NaN,NaN,NaN,6377389763706489533,31.7368435207815,10.9016668449066,1.79033550746283,AIS,0.2366009,GALEX J020656.8+105406,3,224,112,21.38472,0.3746065,20.63579,0.1493658,10.14177,3.498319,20.21551,2.780391,0.06696487,31.93841,10.7721,1894.891,1908.318,,0.5993564,0.525458,0,0.09421325,0.1167468,0,0.2005115326109999,0.23797244360692502,0.1263536008931871,20.802104556393076,20.795170399106816,20.540083467389,20.1509643412,0.00693415728625979,-0.634702681160686
